peakid,pkname,pkname2,location,heightm,heightf,himal,region,open,unlisted,trekking,trekyear,restrict,phost,pstatus,pyear,pseason,pmonth,pday,pexpid,pcountry,psummiters,psmtnote
ACHN,Aichyn,"Aychin, Ashvin",Chandi Himal (SW of Changwathang),6055,19865,Nalakankar/Chandi/Changla,Kanjiroba-Far West,TRUE,FALSE,FALSE,,Opened in 2014,Nepal only,Climbed,2015,Autumn,Sep,3,ACHN15301,Japan,"Hiroki Senda, et al",
AMAD,Ama Dablam,Amai Dablang,Khumbu Himal,6814,22356,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1961,Spring,Mar,13,AMAD61101,"New Zealand, USA, UK","Mike Gill, Wally Romanes, Barry Bishop, Michael Ward",
AMOT,Amotsang,Amatson,Damodar Himal (NW of Pokharhan),6393,20974,Damodar,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,2019,Autumn,Oct,24,AMOT19301,Germany,Jost Kobusch,Possibly climbed earlier
AMPG,Amphu Gyabjen,Amphu Gyabien,Khumbu Himal (N of Ama Dablam),5630,18471,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,1953,Spring,Apr,11,AMPG53101,UK,"John Hunt, Tom Bourdillon",
AMPH,Amphu I,,"Khumbu Himal (E of Amphu Laptsa, W of Baruntse)",6740,22113,Khumbu,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Climbed,2013,Autumn,Oct,9,AMPH13301,S Korea,"An Chi-Young, Kim Young-Mi, Oh Young-Hoon",
AMPM,Amphu Middle,Amphu North,Khumbu Himal (NW of Amphu Laptsa),6202,20348,Khumbu,Khumbu-Rolwaling-Makalu,FALSE,TRUE,FALSE,,Requires permit for Amphu I,Nepal only,Climbed,2008,Spring,Apr,20,AMPM08101,Germany,"Olaf Rieck, Alexander Graeber",
ANID,Anidesh Chuli,White Wave Peak,Kangchenjunga Himal (W of Kangbachen),6808,22336,Kangchenjunga/Simhalila,Kangchenjunga-Janak,TRUE,FALSE,FALSE,,Opened in 2002,Nepal only,Unclimbed,,,,,,,Unclimbed,
ANN1,Annapurna I,,Annapurna Himal,8091,26545,Annapurna,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1950,Spring,Jun,3,ANN150101,France,"Maurice Herzog, Louis Lachenal",
ANN2,Annapurna II,,Annapurna Himal,7937,26040,Annapurna,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1960,Spring,May,17,ANN260101,"UK, Nepal","Richard Grant, Chris Bonington, Ang Nyima Sherpa",
ANN3,Annapurna III,,Annapurna Himal,7555,24787,Annapurna,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1961,Spring,May,6,ANN361101,India,"Mohan S. Kohli, Sonam Gyatso, Sonam Girmi",
ANN4,Annapurna IV,,Annapurna Himal,7525,24688,Annapurna,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,,,Nepal only,Climbed,1955,Spring,May,30,ANN455101,W Germany,"Heinz Steinmetz, Harald Biller, Juergen Wellenkamp",
